Galaxy,Distance_Mpc,Max_Radius_kpc,Vobs_outer_km/s,Vbar_outer_km/s,M_total_Msun,M_visible_Msun,M_DM_Msun,DM_fraction_%
CamB,3.36,1.79,20.1,16.433386747715762,168102719.665272,112366480.24174806,55736239.42352393,33.156060493552125
D512-2,15.2,3.83,35.9,21.64842950423887,1147406392.3756392,417235410.27429104,730170982.1013482,63.636649312156166
D564-8,8.79,3.07,25.0,10.39635032114636,446013482.1013482,77131145.28126454,368882336.8200837,82.706544
D631-7,7.72,7.19,57.3,19.850120906432785,5487414016.736402,658543999.76755,4828870016.968851,87.9990101392201
DDO064,6.8,2.98,46.9,28.065868951450625,1523672198.9772198,545635783.3565786,978036415.6206412,64.18942448888664
DDO154,4.04,5.92,45.5,16.8462814888034,2848879590.887959,390534501.1622503,2458345089.725709,86.2916459364811
DDO161,7.5,13.37,66.1,30.952935240458213,13578879056.252903,2977588506.2761507,10601290549.976753,78.0719123136677
DDO168,4.25,4.12,52.0,28.01935937882949,2589604834.9604836,751870790.3300792,1837734044.6304045,70.9658099112426
DDO170,15.4,12.33,62.2,29.074217100379503,11088516317.991632,2422750705.0209208,8665765612.97071,78.15081264668478
ESO079-G014,28.7,16.67,178.0,130.66190339957552,122773658763.36589,66155073247.326866,56618585516.039024,46.116232167655575
ESO116-G012,13.0,9.86,112.0,57.32175154337139,28750311483.03115,7530874558.809857,21219436924.221294,73.8059375
ESO444-G084,4.83,4.44,62.7,16.779851012449424,4057398326.3598337,290595419.804742,3766802906.555092,92.83788781799359
ESO563-G021,60.8,42.41,312.0,196.97196805637088,959637154811.7155,382478224649.4653,577158930162.2502,60.14345393655491
F561-1,66.4,9.66,50.4,57.449640555881636,5703846025.104603,7411077450.488146,-1707231425.383543,-29.931232678256492
F563-1,48.9,20.1,106.0,41.6653393121909,52497350069.735016,8111020467.22455,44386329602.51047,84.5496573513706
F563-V1,54.0,7.87,27.3,30.840197794437053,1363419874.4769876,1739957481.6364484,-376537607.1594608,-27.617142320439026
F563-V2,59.7,10.47,118.0,54.70935294810203,33887559274.75593,7284494711.994423,26603064562.76151,78.5039263142775
F565-V2,51.8,8.8,83.1,32.922553060174415,14125841004.184101,2217171455.1371455,11908669549.046955,84.30414547013226
F567-2,79.0,9.59,52.2,40.974515250335784,6074201673.640168,3742620997.44305,2331580676.1971183,38.384973062638544
F568-1,90.7,13.23,142.0,68.87459400969271,62010627615.062775,14588395939.330545,47422231675.73223,76.47436173378298
F568-3,82.4,17.98,120.0,62.60240330849927,60184100418.41005,16379524635.518366,43804575782.891685,72.78429930555555
F568-V1,80.6,17.63,118.0,48.939710869599544,57061859600.18597,9815325462.343096,47246534137.84287,82.79879847744903
F571-8,53.3,15.55,144.0,56.566096736472815,74952301255.23013,11565712997.443054,63386588257.78708,84.56923562885802
F571-V1,80.1,13.59,83.9,39.191024482654186,22236834937.2385,4852016661.087866,17384818276.150635,78.18027307041558
F574-1,96.8,12.6,99.7,58.48278806623364,29113234309.623436,10017429079.497908,19095805230.125526,65.59149363838758
F574-2,89.1,10.83,40.0,45.96402179966414,4027894002.7894006,5318560385.634588,-1290666382.8451877,-32.04320624999998
F579-V1,89.5,15.16,114.0,71.64346795067922,45797154811.71549,18087643733.14738,27709511078.56811,60.50487457679286
F583-1,35.4,16.26,85.8,43.08445891501946,27824329707.112976,7016029743.3751745,20808299963.7378,74.78455072511017
F583-4,53.3,7.29,69.9,40.0131290953357,8279640376.56904,2713077207.1129713,5566563169.456069,67.23194385602977
IC2574,3.91,10.23,67.5,36.23216526789422,10834597280.334728,3121718980.4741983,7712878299.86053,71.18749410150892
IC4202,100.4,25.9,247.0,194.22158196245852,367301975825.1976,227103764088.79587,140198211736.4017,38.169740693995976
KK98-251,6.8,3.13,34.2,21.403518402356188,850993305.4393307,333306875.4067876,517686430.0325431,60.83319653910605
NGC0024,7.3,11.27,110.0,45.00080999271013,31698512319.851234,5305107294.97908,26393405024.872154,83.26386033057851
NGC0055,2.11,13.5,86.5,58.597202151638605,23479864016.736404,10774996129.707113,12704867887.029291,54.109631461124664
NGC0100,13.5,9.62,91.2,45.579285865401616,18599203347.280334,4645577384.007438,13953625963.272896,75.02270770814097
NGC0247,3.7,14.54,107.0,59.86697670669532,38695597396.55974,12113472395.629938,26582125000.929802,68.69547646082627
NGC0289,20.8,71.12,165.0,85.06170231073442,450079497907.9499,119616056807.06651,330463441100.88336,73.42334912764004
NGC0300,2.08,11.8,93.5,41.36379697271516,23979207345.42074,4693019911.668991,19286187433.751747,80.42879464668708
NGC0801,80.7,59.82,216.0,171.7692527782548,648759163179.9164,410267254831.2413,238491908348.6751,36.76123928326475
