galaxy,n_points,r_max_kpc,Vobs_peak,fbar_mean,rho0_nfw,rs_nfw,chi2_nfw,rho0_iso,rc_iso,chi2_iso,winner,csb,inner_slope
CamB,9,1.79,20.1,2.561,,,,,,,failed,30.32,
D512-2,4,3.83,37.2,0.399,1073097.4775721089,12.841950317038586,0.193,26757449.04461905,1.0052983997575182,0.079,ISO,16.45,0.528
D564-8,6,3.07,25.0,0.353,61957.849970095915,99.9999999993733,1.003,8323865.74036659,1.7111430999240715,0.125,ISO,6.37,1.187
D631-7,16,7.19,58.5,0.558,161859.90773867475,99.99999999999979,3.66,7327581.905254664,5.496378267273509,0.858,ISO,26.06,1.999
DDO064,14,2.98,46.9,0.352,226272.2175948454,99.99999999998661,0.529,38505044.07516908,1.3799579792858416,0.333,ISO,28.5,0.495
DDO154,12,5.92,48.2,0.284,996901.9539688273,20.6618518642942,13.896,22031625.42591333,1.7274706908540698,4.009,ISO,15.93,1.408
DDO161,31,13.37,67.5,0.542,117870.56940770503,99.99999999999989,1.334,4438323.4216466285,5.309679096268333,0.497,ISO,30.32,-1.137
DDO168,10,4.12,55.0,0.474,223557.66488077806,99.99999999999996,8.518,20237772.006129693,2.6450458723220924,4.301,ISO,20.43,0.634
DDO170,8,12.33,62.2,0.324,1149898.970726697,16.422504336234677,2.094,12498993.265412882,2.4179152718929644,1.364,ISO,9.38,0.891
ESO079-G014,15,16.67,178.0,0.756,641843.8147151518,66.74136454697604,0.934,15796397.237660743,5.198432519666271,0.918,Neither,455.28,0.532
ESO116-G012,15,9.86,112.0,0.523,427312.7426915656,99.99999999940931,1.821,27753405.4528566,3.300514191200265,0.748,ISO,276.94,-0.47
ESO444-G084,7,4.44,63.1,0.185,3062260.068779774,16.534477117150075,0.744,123939600.09764166,0.8859981358832236,0.951,Neither,31.29,0.619
ESO563-G021,30,42.41,321.0,1.3,887431.443389088,91.80684149420195,1.831,25118492.7357706,6.969693661169738,2.465,Neither,2096.34,0.986
F561-1,6,9.66,50.4,1.133,,,,,,,failed,43.88,-0.613
F563-1,17,20.1,112.5,0.19,3820661.111700962,16.219286762120646,0.775,52140227.63459873,2.137073514869894,0.495,ISO,33.42,1.775
F563-V1,6,7.87,29.5,1.01,,,,,,,failed,12.6,-1.273
F563-V2,10,10.47,118.0,0.219,2730757.9898529197,27.919462302797253,0.995,105283524.05198452,1.6956755847379912,0.246,ISO,68.0,0.981
F565-V2,7,8.8,83.1,0.201,277559.5705661469,99.99999999994922,0.373,16787667.907092188,3.4991548570674773,0.072,ISO,12.58,0.995
F567-2,5,9.59,52.2,0.633,3695176.405848672,5.222431347796994,0.18,18193716.17874189,1.2533474631163584,0.172,Neither,22.17,1.479
F568-1,12,13.23,142.0,0.255,2260874.2973980457,33.68973997226901,0.681,65243757.846132845,2.4371231881951885,0.171,ISO,98.11,1.133
F568-3,18,17.98,120.0,0.467,248832.59152654657,99.99999999999999,2.508,13156049.101061726,4.577596525411218,1.105,ISO,67.54,2.693
F568-V1,15,17.63,118.0,0.231,14157386.682167796,8.533603568746386,0.181,117888624.83826256,1.50023515006047,0.118,ISO,99.83,0.979
